code,description
2841,Coat hanger manufacturing-wood
2041,Cocoa or chocolate manufacturing
6504,Coconut shredding or drying
4665,Cod liver oil manufacturing-
6504,"Coffee cleaning, roasting or grinding"
8292,Coffee storage warehouse
8006,"Coffee, tea or grocery dealer-retail"
5192,"Coffee: service companies-all operations & salespersons, drivers"
6252,Cofferdam work-not pneumatic-all operations to completion
4034,Coffin and casket manufacturing-concrete-
2881,Coffin manufacturing or assembly-wood
3076,Coffin or casket manufacturing or assembly-metal
2881,Coffin or casket manufacturing or assembly-wood
9522,Coffin or casket upholstering and burial garment manufacturing
3681,Coil manufacturing-electrical
8013,Coin dealer
4251,Coin wrappers and currency strap manufacturing
1472,Coke manufacturing
8031,Cold storage locker-frozen foods
3334,Collapsible white metal tube and cap manufacturing
2501,Collar manufacturing
9403,"Collection of containerized garbage, ashes or refuse"
8742,"Collectors, messengers or salespersons-outside"
9101,College-all employees other than professional or clerical
8868,College-professional employees & clerical
4558,"Color grinding, blending or testing"
9052,Commissary work-all employees other than restaurant workers
9058,Commissary work-restaurant employees
3724,Compressor repair or service-away from shop-
4150,Computer chip manufacturing
5191,"Computer device installation, inspection, service or repair"
8810,Computer system designers or programmers-exclusively office
8803,Computer system designers or programmers-traveling
5191,"Computer-installation, service or repair"
3574,"Computing, recording or office machine manufacturing NOC"
8017,Concessions-beach chairs and umbrellas
9016,Concessions-boats in parks-
8017,Concessions-cigarette or cigar
8017,Concessions-door attendants
8008,Concessions-hat or coat checkrooms
8017,Concessions-parcel or luggage checkrooms
8392,Concessions-parking lots
8017,Concessions-rolling chairs
8017,Concessions-washroom attendants
4034,Concrete block manufacturing-
4034,Concrete brick manufacturing-
5222,Concrete construction in connection with bridges or culverts
5213,Concrete construction NOC
5213,"Concrete construction NOC-fabricating, setting up or taking down forms"
5215,"Concrete construction-construction of private residences, fabricating, setting up or taking down forms"
5213,Concrete construction-monolithic
5221,Concrete igloo construction-floors-
5213,Concrete igloo construction-for explosives
5057,"Concrete or cement distributing towers-installation, repair or removal"
5221,"Concrete or cement work-floors, driveways, yards or sidewalks-"
5213,Concrete pre-cast slab installation-roofs and floors
5213,Concrete pre-cast wall panel installation
5213,Concrete private residences construction-monolithic
5215,Concrete private residences construction-not monolithic
4034,Concrete products manufacturing
7228,Concrete ready mix operations-materials not owned by the insured-local hauling only-
7229,Concrete ready mix operations-materials not owned by the insured-long distance hauling-
5215,Concrete work-incidental to the construction of private residence
8106,Concrete: reinforcing rod or bar dealer and drivers
8232,Concrete-dry mixing & bagging-no manufacturing
2065,Condensed milk manufacturing
3681,Condenser manufacturing-electrical
9012,"Condominiums or cooperatives: professional employees, property managers and leasing agents & clerical, salespersons"
9015,"Condominiums or cooperatives-all employees engaged in care, custody and maintenance of premises or facilities"
6325,Conduit construction-for cables or wires-
4021,Conduit manufacturing-clay-
3559,Confection machine manufacturing
2041,Confection manufacturing
3507,"Construction machinery, dredge or steam shovel manufacturing NOC"
8227,Construction or erection permanent yard
3126,Construction tool manufacturing
4150,Contact lens manufacturing
8264,Container recycling-beverage-bottle or can
9403,Containerized refuse collection
5606,Contractor-executive supervisor
8107,Contractors' equipment rental-without operator-
8107,Contractors' machinery dealer
8829,Convalescent or nursing home-all employees
3257,Conveyor belt manufacturing-wire
3507,Conveyor manufacturing
2001,Cookie manufacturing-no on-premises consumption
3227,Cooking utensils manufacturing-steel
3724,Cooling tower erection-prefabricated wood or metal-
2881,Cooperage assembly
2735,Cooperage stock manufacturing
4279,Cop tube manufacturing
3315,Copper or brass goods manufacturing
3027,"Copper plate, sheet, strip or coil stock manufacturing-"
3066,Coppersmith-shop
5191,"Copy machine-installation, service or repair"
1624,Coral rock quarry-
2220,Cord or twine manufacturing-cotton
2220,"Cordage, rope or twine manufacturing NOC"
2352,"Cordage, rope or twine manufacturing NOC (MO, NJ, OK)"
6204,Core sample drilling-
2841,Cork board manufacturing and cork products manufacturing
2841,Cork cutting works
4250,Cork paper manufacturing-no paper manufacturing
0037,Corn detasselling-
2016,Corn flakes manufacturing
2014,Corn milling
4703,Corn products manufacturing
0050,Corn shelling-portable-
4034,Cornice manufacturing-concrete-
3383,Coronet manufacturing
7720,Correction department employees-
8868,Correspondence schools
4244,Corrugated or fiberboard container manufacturing
4611,Cosmetics manufacturing-not manufacturing ingredients
2211,"Cotton batting, wadding or waste manufacturing"
8742,Cotton classifiers
0400,Cotton compressing
3507,Cotton gin machine manufacturing
0401,"Cotton gin operation & local managers, drivers"
8103,Cotton merchant
0037,Cotton picking-
2220,Cotton spinning and weaving
8103,Cotton storage
4670,Cottonseed feed manufacturing-
4670,Cottonseed oil manufacturing-mechanical-
4670,Cottonseed oil manufacturing-solvent-
4683,Cottonseed oil refining
3300,Couches (folding) manufacturing
4611,Cough drop manufacturing
4611,Cough syrup compounding or preparation-no manufacturing of ingredients
9410,County employees NOC
8820,Court reporters-
3040,Crab pot manufacturing-
2001,Cracker manufacturing
0079,Cranberry growers
8107,Crane dealer-
3507,Crane manufacturing-overhead
5057,Crane or derrick installation
9534,Crane rental with operator
8107,Crane rental without operator-
2942,"Crayon, pencil or penholder manufacturing"
2016,Cream of wheat manufacturing
2157,Cream-aerated under pressure-
2070,"Creamery or dairy & route supervisors, drivers"
9620,Crematory operation
1472,Creosote manufacturing
0034,Cricket raising-
8102,Crop inspection for farms
2841,Crutch manufacturing-wood
3179,Cryogenic device manufacturing-refrigeration unit
3076,Cryogenic device manufacturing-sheet metal work
4150,Crystal manufacturing-radio or electronic
4000,Culm recovery-
3620,Culvert manufacturing-plate metal
3066,Culvert manufacturing-sheet metal
8810,Curator-library or museum
4410,Cushion manufacturing-rubber
2501,"Cushion, pillow or quilt manufacturing"
3122,Cutlery manufacturing NOC
8010,Cutlery parts store
0036,Dairy farm operation-
6504,Dairy products manufacturing-imitation
6017,Dam or lock construction-concrete work-all operations
6018,Dam or lock construction-earthmoving or placing-all operations
2702,Dam or lock construction-timber or brush cutting and removal
3300,Daybed manufacturing
3372,Deburring-metal
4299,Decalcomania transfer manufacturing-not silk-screen process
5538,"Decking-sheet metal, fabrication and installation-"
5102,Decorating
4352,Decorating ceramic or glass by hand
5102,"Decorative metal erection work-plaques, facades, facings"
0401,Decortication-fibrous plants-
3179,Dehumidifier
6504,Dehydrating coffee or tea
6504,Dehydrating eggs
2095,Dehydrating meats
2065,Dehydrating milk
2112,Dehydrating soup
2112,Dehydrating vegetables
7380,Delivery of goods using bicycles-
7394,Demolition operations-underwater-Program I
7395,Demolition operations-underwater-Program II-State Act
7398,Demolition operations-underwater-Program II-USL Act
8017,Demonstrators in retail stores
5146,Dental equipment installation
3685,Dental instrument manufacturing
4692,Dental laboratory
8017,Dental supply dealers-retail
8832,Dentist & clerical
5057,Derrick or oil rig erecting or dismantling-all operations-metal
5403,Derrick or oil rig erecting or dismantling-all operations-wood
7720,Detective or patrol agency
4720,Detergent manufacturing
3372,Detinning
4703,Dextrine manufacturing
8013,Diamond cutting or polishing
2585,"Diaper service & route supervisors, drivers"
4000,Diatomite-digging and stripping-
1925,Die casting manufacturing
3632,Diesel engines used as generators-repair
6005,Dike or revetment construction
9154,Dinner theater-all other employees-theater payroll greater than 50%
9156,"Dinner theater-players, entertainers-theater payroll greater than 50%"
3648,Directional signal manufacturing
4923,Disc manufacturing-magnetic
5190,"Dishwasher-installation, service or repair-commercial-"
4279,Display manufacturing-cardboard
4038,Display manufacturing-papier mache
9521,Display-window-installation
1472,Distillation-wood-
2130,Distillery-spirituous liquor
7380,"Distributing companies-if employees transported to location in cars or trucks- (samples, advertising circulars telephone directories, etc.)"
8017,Distributing companies-if no transportation or governing classification
3648,Distributor (automobile) parts manufacturing
0251,Ditch cleaning-irrigation-
7394,Diving-marine-Program I
7395,Diving-marine-Program II-State Act
7398,Diving-marine-Program II-USL Act
2111,Dog food manufacturing-canning operation
6504,Dog food manufacturing-packaged-dry pelleted
8279,Dog show-kennel employees
9016,Dog show-operation by owner or lessee
2501,Doll clothing or cloth dolls or cloth parts manufacturing
4484,Doll or doll parts manufacturing or assembly
9180,"Dolphin training, feeding and care"
0917,Domestic service contractor-inside
0913,Domestic workers-inside
0908,Domestic workers-inside-occasional
0912,Domestic workers-outside-including private chauffeurs
0909,Domestic workers-outside-occasional-including occasional private chauffeurs
2003,Donut manufacturing-no consumption on premises-
5102,Door installation-metal or metal covered-in garages-not overhead
3724,Door installation-overhead-
5403,Door installation-pre-hung
5645,Door installation-screened-metal or wood
3040,Door manufacturing-metal (heavy metal)
3076,Door manufacturing-metal (light metal)
5102,"Door, door frame or sash erection-metal or metal covered"
3066,"Door, door frame or sash manufacturing-wood-metal covered"
2802,"Door, sash or assembled millwork manufacturing-wood"
3146,Doorknob manufacturing
9101,Dormitory operation-by school
2731,Dowel manufacturing-wood
8810,Drafting employees
9016,Drag strip operation
6229,Drainage or irrigation system construction
2501,"Draperies or curtain manufacturing-from cloth, paper or plastic-cutting and sewing"
9521,Draperies or curtains-installation in public buildings from floor or stepladders
5102,Draperies or curtains-installation in public buildings NOC
3507,"Dredge, steam shovel or construction machinery manufacturing NOC"
4000,Dredging of materials on non-navigable waters with incidental shore operations-
7333,Dredging-all types-Program I
7335,Dredging-all types-Program II-State Act
7337,Dredging-all types-Program II-USL Act
4038,Dress form manufacturing
4282,Dress pattern manufacturing-paper
2731,Dressed lumber mill
4557,Dressing or polish manufacturing
4038,Dressmaker forms manufacturing-plaster
2503,Dressmaking or tailoring-custom exclusively
7038,Drift fishing boat-less than 15 tons-Program I
7090,Drift fishing boat-less than 15 tons-Program II-State Act
7050,Drift fishing boat-less than 15 tons-Program II-USL Act
6204,Drilling NOC
6235,Drilling or redrilling of oil or gas wells and installation of casing drivers
7380,"Drivers, chauffeurs and their helpers NOC-commercial"
4825,"Drug, medicine or pharmaceutical preparation manufacturing & includes manufacturing of ingredients"
4611,"Drug, medicine or pharmaceutical preparation, compounding or blending-no manufacturing of ingredients"
2589,"Dry cleaning and laundry store-retail-& route supervisors, drivers"
6854,Dry dock building-floating-iron or steel-State Act-
6843,Dry dock building-floating-iron or steel-U.S. Act-
6801,Dry dock construction-floating--State Act
8018,Dry ice dealers-wholesale
4635,Dry ice manufacturing-
3066,Duct manufacturing-air conditioning
5538,Duct work-shop and installation-
5538,"Ducts-for heating and air conditioning systems-fiberglass or sheet metal, fabrication & installation-"
0083,Dude ranches-cattle ranches
9052,"Dude ranches-not cattle ranches-& salespersons, drivers"
3507,Dust collector systems manufacturing
4825,Dye manufacturing-natural
2586,"Dyeing or cleaning & route supervisors, drivers"
4021,Earthenware or tile manufacturing NOC
8018,Egg breaking-including canning & freezing
8018,"Egg dealers-including grading, candling, packing-wholesale"
0034,Egg or poultry producer-
9519,Electric blankets-service or repair
7539,Electric light or power co. NOC-all employees
7540,Electric light or power cooperative-REA project only-all employees
7538,Electric light or power line clearing of new right-of-ways by line contractor- (clearing of right-of-way performed by contractors also engaged in telephone telegraph or alarm line construction shall be assigned to Code 7601)
7538,Electric light or power line construction
3180,Electric or gas lighting fixtures manufacturing
5190,"Electric oven-installation, service or repair-commercial-"
3643,Electric power or transmission equipment manufacturing
3179,Electric razor manufacturing or repair
0050,"Electric, telephone or alarm line-brush or weed control by spraying-existing right-of-way-"
6217,"Electric, telephone or alarm line-clearing brush or stumps from existing right-of-way-"
2702,"Electric, telephone or alarm line-clearing of new right-of-way-standing timber-"
0106,"Electric, telephone or alarm line-tree pruning, spraying or removal-existing right-of-way-"
3724,Electrical apparatus installation or repair
3179,Electrical apparatus manufacturing NOC
3179,Electrical cable connector manufacturing
3681,"Electrical cord set, radio or ignition harness assembly"
8010,Electrical hardware stores-wholesale or retail
3724,Electrical power equipment repair or service-away from shop-
5190,Electrical wiring-within buildings
4150,Electronic chip manufacturing
3681,Electronic timers
3685,Electro-physical therapy equipment manufacturing
3372,Electroplating
4299,Electrotyping
3040,Elevator door fabrication-iron or steel-
5102,Elevator entrance & door installation
5160,Elevator erection or repair
8720,Elevator inspecting
3042,Elevator or escalator manufacturing
5160,"Elevator servicing-oiling, adjusting and maintenance"
2388,Embroidery manufacturing
1860,Emery cloth manufacturing
1747,Emery works
3224,Enamel or agate ware manufacturing
3081,Enameled iron ware manufacturing-
8601,Energy conservation consultants
3612,Engine manufacturing NOC
3826,Engine manufacturing-aircraft
3827,Engine manufacturing-automobile
3612,Engine manufacturing-outboard motors
8380,Engine repair-marine-away from water-
8601,Engineer or architect-consulting
4352,Engraving
4251,Envelope manufacturing
5160,Escalator erection or repair
3042,Escalator or elevator manufacturing
4825,Essential oils manufacturing & distillation
4053,Etching-aluminum oxide process
3685,Ether-suction machine manufacturing
2065,Evaporated milk manufacturing
6217,Excavation
9063,Exercise or health institute & clerical
2812,Exhibition booth fabrication
5146,"Exhibitions-trade shows or conventions, setting up or taking down"
4771,Explosives or ammunition manufacturing-bag loading-propellant charges-
4771,Explosives or ammunition manufacturing-black powder manufacturing
4771,"Explosives or ammunition manufacturing-cap, primer, fuse, booster or detonator assembly"
4771,Explosives or ammunition manufacturing-cartridge charging or loading
3574,Explosives or ammunition manufacturing-cartridge manufacturing or assembly-small arms
3315,Explosives or ammunition manufacturing-cartridge or shell case manufacturing-metal
4771,Explosives or ammunition manufacturing-explosives distributors
4771,Explosives or ammunition manufacturing-fireworks manufacturing
4771,Explosives or ammunition manufacturing-high explosives manufacturing
4771,Explosives or ammunition manufacturing-NOC
3632,Explosives or ammunition manufacturing-projectile or shell manufacturing
4771,"Explosives or ammunition manufacturing-projectile, bomb, mine or grenade loading"
4771,Explosives or ammunition manufacturing-shell case loading
4771,Explosives or ammunition manufacturing-smokeless powder manufacturing-
9014,Exterminator
4825,Extract manufacturing
4150,Eyeglass manufacturing
3270,Eyelet manufacturing
4493,Fabric coating or impregnating NOC
4410,Fabric coating-rubber or plastic
3041,Facade fabrication-metal-
8803,"Factory cost or office systematizer, accountant or auditor-traveling"
3179,Fan manufacturing
2016,Farina manufacturing
8116,Farm machinery dealer-all operations
0050,Farm machinery operation-by contractor-
8116,Farm machinery-leasing or renting without operators-
0037,Farm product-alfalfa-
0170,Farm product-animals-fur bearing-
0016,Farm product-apples-
0016,Farm product-apricots-
0008,Farm product-asparagus-
0016,Farm product-bananas-
0037,Farm product-barley-
0037,"Farm product-beans, dry-"
0008,"Farm product-beans, green-"
0037,"Farm product-beets, sugar-"
0008,"Farm product-beets, table-"
0079,Farm product-berries-
0016,Farm product-black walnuts-
0008,Farm product-broccoli-
0008,Farm product-brussels sprouts-
0035,"Farm product-bulbs, flowers-"
0008,Farm product-cabbage-
0037,Farm product-cantaloupes-
0008,Farm product-carrots-
0083,Farm product-cattle-
0008,Farm product-cauliflower-
0008,Farm product-celery-
0016,Farm product-cherries-
0034,Farm product-chickens-
0005,Farm product-Christmas trees-
0037,Farm product-clover-
0016,Farm product-coffee-
0037,Farm product-corn-
0079,Farm product-cranberries-
0008,Farm product-cucumbers-
0079,Farm product-currants-
0036,Farm product-dairy-
0037,Farm product-dill-
0034,Farm product-eggs-
0016,Farm product-English walnuts-
0016,Farm product-figs-
0016,Farm product-filberts-
0113,Farm product-fish hatcheries-
0035,"Farm product-flowers, field growing-"
0037,Farm product-garlic-
0083,Farm product-goats-
0037,Farm product-grain-
0079,Farm product-grapes-
0037,Farm product-grass seed-
0037,Farm product-hay-
0083,Farm product-hogs-
0005,Farm product-holly-
0079,Farm product-hops-
0008,Farm product-horseradish-
0083,Farm product-horses-
0008,Farm product-kale-
0079,Farm product-kiwi-
0008,Farm product-lettuce-
0016,Farm product-macadamia nuts-
0037,Farm product-melons-
0037,Farm product-millet-
0037,Farm product-mint-
0037,Farm product-mustard-
0016,Farm product-nectarines-
0005,"Farm product-nursery, trees & shrubs-"
0016,"Farm product-nuts (black walnut, English walnut, filbert, etc.-tree growing)-"
0037,Farm product-oats-
0037,"Farm product-onions, dry-"
0008,"Farm product-onions, green-"
0016,Farm product-orchards-
0034,Farm product-ostriches-
0016,Farm product-papaya-
0008,Farm product-parsnips-
0016,Farm product-peaches-
0037,Farm product-peanuts-
0016,Farm product-pears-
0037,"Farm product-peas, dry-"
0037,"Farm product-peas, green-"
0037,Farm product-peppermint-
0008,Farm product-peppers-
0037,Farm product-pineapples-
0016,Farm product-plums-
0037,Farm product-potatoes-
0034,Farm product-poultry-
0016,Farm product-prunes-
0037,Farm product-pumpkins-
0008,Farm product-radishes-
0008,Farm product-rhubarb-
0037,Farm product-rice-
0008,Farm product-rutabagas-
0037,Farm product-rye-
0083,Farm product-sheep-
0008,Farm product-spinach-
0037,Farm product-squash-
0079,Farm product-strawberries-
0037,Farm product-sugar beets-
0037,Farm product-sugar cane-
0008,Farm product-taro-
0037,Farm product-timothy-
0037,Farm product-tobacco-
0008,Farm product-tomatoes-
0005,Farm product-trees-
0034,Farm product-turkeys-
0008,Farm product-turnips-
0079,Farm product-vineyards-
0016,Farm product-walnuts-
0037,Farm product-watermelons-
0037,Farm product-wheat-
0170,Farm-animal raising (fur bearing)
0079,Farm-berry or vineyard-
0083,Farm-cattle or livestock raising NOC
0036,Farm-dairy
0034,Farm-egg or poultry producer
0037,Farm-field crops
0113,Farm-fish hatchery
0035,Farm-florist
0008,Farm-gardening-market or truck-
0083,Farm-goat or sheep raising
0083,Farm-livestock or cattle raising NOC
0037,Farm-NOC
0005,Farm-nursery employees  (includes incidental landscape gardening)
0016,Farm-orchard
0034,Farm-poultry or egg producers
0083,Farm-sheep or goat raising
0008,Farm-vegetable-
0079,Farm-vineyard or berry-
3131,Fastener or button manufacturing-metal
3188,Faucet manufacturing
2586,Feather dyeing-
2534,Feather or flower manufacturing-artificial
2501,Feather pillow manufacturing
8103,"Feathers-washing, steaming, cleaning and renovating"
2014,Feed additives for livestock manufacturing
8288,"Feed lots-cattle-not operating farms or ranches, or butchering or packing house operations-& salespersons, drivers"
2014,Feed manufacturing
0050,Feed manufacturing-portable-
8215,"Feed, hay or grain dealer & local managers, drivers"
8288,Feedlot operation-commercial-
1624,Feldspar mining
1624,Feldspar quarry-
4283,Felt or building or roofing paper preparation-no installation
2288,Felting manufacturing
5102,Fence erection to prevent soil erosion
6400,Fence erection-metal
3257,Fence manufacturing-wire
2802,"Fence manufacturing-wood, picket-"
3400,Fender manufacturing-automobile-metal stamped parts
7016,Ferries-Program I
7024,Ferries-Program II-State Act
7047,Ferries-Program II-USL Act
0050,Fertilizer application-specialist contractor-
4583,Fertilizer manufacturing
4583,Fertilizer manufacturing-from seaweed-
2913,Fiber furniture manufacturing
4263,Fiber goods manufacturing
4244,Fiberboard container manufacturing
4239,Fiberboard manufacturing
1699,Fiberglass manufacturing for insulation purposes
4493,Fiberglass manufacturing-plastic-coated
3118,File manufacturing
5146,Filing equipment installation
4251,Filing folders or indexing devices manufacturing
4362,Film exchange & clerical
4361,"Film print shops-developing and printing of films-all employees & clerical, salespersons, drivers"
4243,"Filter manufacturing-paper, fiberglass"
3257,Filter screen manufacturing-for use in grain mills
7605,Fire alarm installation or repair-
3179,Fire alarm siren manufacturing
7601,"Fire alarm, telephone or telegraph line construction"
3040,Fire door fabrication-iron or steel
5102,Fire door installation
3040,Fire escape fabrication-iron or steel-
5102,Fire escape installation: inside of buildings
5040,Fire escape installation: outside of buildings
3315,Fire extinguisher manufacturing
4635,Fire extinguisher-service or recharge-
5188,Fire extinguishing systems-dry chemical-installation and service
6235,Fire flooding-drilling in connection with oil or gas well-
7704,Fire patrol or protective corps
7520,"Fire plug-installation, repair and maintenance"
7704,Firefighters
5022,Fireplace construction
3076,Fireproof equipment manufacturing
5040,Fireproof shutter-erection or repair
5022,Fireproof tile setting
4777,Fireworks dealer-
9180,Fireworks exhibition
2095,Fish curing
2095,"Fish evaporating, pickling, salting, smoking"
0113,Fish hatcheries-
4665,Fish oil manufacturing-
4902,Fishing rod and tackle manufacturing
4902,Fishing tackle repair
7016,Fishing vessels-NOC-Program I
7024,Fishing vessels-NOC-Program II-State Act
7047,Fishing vessels-NOC-Program II-USL Act
5146,Fixtures or furniture installation-portable-NOC
5102,Flags and bunting erection
3315,Flashlight case manufacturing
3179,Flashlight manufacturing or assembling
2220,Flax spinning and weaving
4683,Flaxseed oil manufacturing-not using solvent extraction process
4686,Flaxseed oil manufacturing-using solvent extraction process
9015,Flea market operation
1741,Flint or spar grinding
6003,Floating boat dock construction
2413,Flock coating of textiles
7538,"Floodlighting of stadiums, parks, etc.-drivers"
3724,Floodlights-erection of temporary floodlights-
5213,"Floor construction-concrete, self-bearing"
5478,"Floor covering-installation of linoleum, asphalt or rubber tiling (ceramic tile installation to be separately rated)"
8017,"Floor coverings-retail-carpets, rugs, linoleum"
8018,"Floor coverings-wholesale-carpets, rugs, linoleum"
5146,Floor installation-floating or access
5478,"Floor laying-linoleum, asphalt, rubber or composition tiling"
5221,Floor laying-mastic floor mix-
5437,Floor laying-parquet
5348,Floor laying-tile-ceramic
5437,Floor sanding or scraping-wood floors
4410,Floor tile manufacturing-rubber
9014,Floor waxing or polishing
8235,Flooring dealer-hardwood-
2731,Flooring manufacturing-wood
0035,Florist-farm-
8001,Florist-store-
6504,Flour mixing and blending-no milling
2534,Flower or feather manufacturing-artificial
4112,Fluorescent tube manufacturing
4250,Flypaper manufacturing
4410,Foam rubber manufacturing
5190,"Food mixers-installation, service or repair-commercial-"
8292,Food products (nonperishable) storage warehouse
6504,Food sundries manufacturing NOC-no cereal milling
7380,Food vendors-mobile-
4693,"Foot goods manufacturing-arch supports, bunion straps"
9179,Football team
2688,"Football, soccer, volleyball or basketball manufacturing-(bladder manufacturing to be separately rated)"
7704,Forest firefighting-
7720,Forest rangers-
3110,Forging work-drop or machine
3081,Foundry-ferrous-NOC-
3085,Foundry-non-ferrous
3081,Foundry-soil pipe using pit method-
3082,Foundry-steel castings
4432,Fountain pen manufacturing
0170,Fox raising-
9061,Fraternal society & clerical
9061,Fraternity or sorority houses-& clerical
9519,"Freezers-installation, service or repair-residential"
7360,Freight cars-icing
7350,Freight handling NOC-coverage under Longshore Act
7360,Freight handling NOC-coverage under State Act
7350,Freight handling-explosives or ammunition-under contract-coverage under Longshore Act
7360,Freight handling-explosives or ammunition-under contract-coverage under State Act
2380,Fringe or braid manufacturing
2003,Frozen bakery products manufacturing-
2112,Frozen fruit processing or packing
2111,Frozen vegetable products manufacturing-preparation similar to canning
2112,Fruit evaporating or preserving
0016,Fruit farm-
2143,Fruit juice manufacturing
2105,Fruit packing
5190,"Fry kettle-installation, service or repair-commercial-"
8232,"Fuel and material dealer NOC-no secondhand building materials or lumber-& local managers, drivers"
3581,Fuel injection device manufacturing
3581,Fuel pump manufacturing-auto
7515,Fuel storage-underground-
9014,Fumigation
8742,Fund-raising campaigns
9620,Funeral director
0170,"Fur bearing animals-, raising of"
2501,Fur clothing manufacturing
2586,"Fur clothing-cleaning, tumbling, glazing, combing and ironing-"
2503,Fur coat and jacket manufacturing-custom-made
2600,Fur dressing or dyeing
2600,Fur manufacturing-preparing skins
2534,Fur pointing
9014,Furnace cleaning-suction method
5538,Furnace installation-hot air-
5183,Furnace installation-hot water or steam-
3169,Furnace manufacturing-oil or gas fired
2501,Furnishing goods manufacturing NOC
2881,Furniture assembly-wood-from manufactured parts
3076,Furniture manufacturing-metal
2913,"Furniture manufacturing-rattan, willow or twisted fiber"
2883,Furniture manufacturing-wood-NOC
3041,Furniture manufacturing-wrought iron-
8293,"Furniture moving & storage, drivers"
5146,Furniture or fixtures installation-portable-NOC
8293,Furniture packers-not moving or storage company-
8044,"Furniture rental-chairs, coat racks, dishes, etc.-"
2735,Furniture stock manufacturing
9522,Furniture upholstering
9501,Furniture-stripping and/or refinishing
2501,Furriers-repairing or remodeling fur garments
3648,Fuse manufacturing-household
3373,Galvanizing or tinning-not electrolytic
7016,Gambling vessels-15 tons or greater-Program I
7024,Gambling vessels-15 tons or greater-Program II-State Act
7047,Gambling vessels-15 tons or greater-Program II-USL Act
7038,Gambling vessels-less than 15 tons-Program I
7090,Gambling vessels-less than 15 tons-Program II-State Act
7050,Gambling vessels-less than 15 tons-Program II-USL Act
7720,Game and fish wardens-
9052,"Garages operated by hotels, etc."
9403,Garbage and refuse-collecting in containers
7590,Garbage works
9403,"Garbage, ashes or refuse collection"
4034,Garden furniture manufacturing-concrete-
3076,Garment rack manufacturing-metal
3724,Gas bench and retort installation-
7502,Gas company-natural-local distribution
8350,Gas dealer-l.p.g.
8353,"Gas dealer-l.p.g. & salespersons, drivers (AL, AZ, FL, GA, LA, MS, MO, OK)"
7502,Gas distributing-l.p.g..-local
5040,Gas holder erection
6319,Gas main or connection construction
3574,Gas meter manufacturing
3180,Gas or electric lighting fixtures manufacturing
1320,Gas or oil lease operator-natural gas-all operations
6216,Gas or oil lease work NOC-natural gas-by contractor-
7502,Gas works
8111,"Gas, steam and hot water apparatus-supplies, dealers-"
2651,Gasket or washer manufacturing-not metal
8350,Gasoline or oil dealer
3724,Gasoline pump installation
4740,Gasoline recovery
4740,Gasoline recovery from casing head or natural gas-absorption process-
8380,Gasoline station-retail- NOC
8006,Gasoline station-self-service and convenience/grocery-retail
8381,Gasoline station-self-service only-retail
3635,Gear manufacturing or grinding
4653,Gelatin manufacturing: not food-
6504,Gelatin manufacturing: refined food product
2039,Gelato manufacturing
3648,Generator manufacturing
7380,Geophysical exploration NOC-all employees
8606,Geophysical exploration-seismic-all employees
4511,Geophysical research or analytical laboratory
2130,Gin distillery
7038,Glass bottom boat-tourist attraction-Program I
7090,Glass bottom boat-tourist attraction-Program II-State Act
7050,Glass bottom boat-tourist attraction-Program II-USL Act
4130,Glass merchant
4101,Glass manufacturing-
4101,Glass manufacturing-blown sheet window-
4113,Glass manufacturing-cut
4101,Glass manufacturing-polished plate-
4101,Glass manufacturing-rolled-
4133,Glass window manufacturing-stained
2302,Glass yarn weaving
4352,Glass-crystal engraving
4114,Glassware manufacturing NOC
4114,Glassware manufacturing using automatic blowing machines
4111,Glassware manufacturing-no automatic blowing machines
5462,Glazier-away from shop-
2670,Glove lining manufacturing
2670,"Glove manufacturing-including baseball, boxing, handball and punching bag gloves"
2670,Glove manufacturing-leather or textile
4410,Glove manufacturing-rubber
2362,Glove or mitten manufacturing-knit
4703,Glucose manufacturing
4653,Glue manufacturing
4150,Goggle manufacturing
3383,Gold leaf manufacturing
4902,Golf ball manufacturing
3808,Golf cart manufacturing or assembly-entire vehicle
2841,Golf club heads or shafts manufacturing-wood
4902,Golf clubs manufacturing
4902,Golf clubs-manufacturing or assembling
9060,"Golf course, not miniature-public or private"
9052,"Golf courses operated by hotels, etc."
9016,Golf driving range
6217,Grading of land NOC
3066,Grain bin manufacturing
5213,Grain elevator construction-concrete
8304,"Grain elevator operation & local managers, drivers"
2014,Grain milling
8709,Grain sampling operation
8215,"Grain, feed or hay dealer & local managers, drivers"
5403,Grandstands or bleachers erection-portable-wood or metal
1803,Granite cutting or polishing-
1624,Granite quarry-
1452,Graphite manufacturing-not artificial-
1165,Graphite-surface mining-
3724,Grates-installing or replacing in steam boilers-by specialist contractors-
1710,Gravel manufacturing-
4000,Gravel or sand digging
0037,Grazing land maintenance-
4557,Grease or oil mixing or blending
2710,Green chain operation-lumber
5402,Greenhouse erection-all operations
4034,Grill manufacturing-concrete-
1803,Grindstone manufacturing-no quarrying-
2014,Grist mills
8006,Grocery (convenience)-retail and gasoline station-self-service
8006,"Grocery, tea or coffee dealer-retail"
6204,Grouting: drilling of holes-
5213,Grouting: placing of cement or plastic compound
6003,Groyne construction-consisting wholly of pile driving
3548,Gun manufacturing-20-mm and larger
5213,Guniting-not chimneys-all operations
2841,Gunstock manufacturing
3066,Gutter (drainage) manufacturing
4902,Gymnasium appliance manufacturing
9063,Gymnasiums and health clubs
1165,Gypsum-surface mining-
2534,Hair goods manufacturing
9586,Hair styling salon
